entry,hour,packets,bytes,sessions,type
194,1610,2969,350842,961,Network
195,1610,15325616,9433005765,380741,Workstation
197,1615,0,0,0,Printer
198,1615,19529,5681981,1936,Server
199,1615,9082,1505012,1002,Network
200,1615,19426675,13454214546,380227,Workstation
202,1620,0,0,0,Printer
203,1620,21567,10794042,1554,Server
204,1620,2579,291220,945,Network
205,1620,13910807,8512075176,403819,Workstation
207,1625,0,0,0,Printer
208,1625,16375,5766210,1427,Server
209,1625,3961,571090,873,Network
210,1625,15982410,9431305921,381712,Workstation
212,1630,0,0,0,Printer
213,1630,15698,5262362,1444,Server
214,1630,3590,702926,927,Network
215,1630,14501532,8499713776,386916,Workstation
217,1635,0,0,0,Printer
218,1635,14857,3624776,1742,Server
219,1635,2631,279372,950,Network
220,1635,15155642,9275273772,386871,Workstation
222,1640,0,0,0,Printer
223,1640,16835,5449656,1604,Server
224,1640,2731,328107,887,Network
225,1640,12644501,7438899961,388990,Workstation
227,1645,30,2332,14,Printer
228,1645,27037,9728153,2146,Server
229,1645,3147,386306,964,Network
230,1645,16488426,9863461147,376102,Workstation
232,1650,0,0,0,Printer
233,1650,4015541,3821314535,2135,Server
234,1650,3378,445553,912,Network
235,1650,22879844,15479703561,353524,Workstation
237,1655,0,0,0,Printer
238,1655,45637,24540320,2126,Server
239,1655,3224,410151,968,Network
240,1655,13973009,8784301599,365344,Workstation
242,1700,0,0,0,Printer
243,1700,35865,15406136,2006,Server
244,1700,3073,369610,899,Network
245,1700,14692363,9041642106,323262,Workstation
247,1705,0,0,0,Printer
248,1705,34227,20771166,1949,Server
249,1705,3193,430572,905,Network
250,1705,15539114,9751447115,368766,Workstation
252,1710,0,0,0,Printer
253,1710,15553,3783309,1624,Server
254,1710,3057,365682,994,Network
255,1710,15513436,9270601152,382390,Workstation
257,1715,0,0,0,Printer
258,1715,29010,17329723,1927,Server
259,1715,9334,1601376,999,Network
260,1715,15062729,9393227011,354199,Workstation
262,1720,0,0,0,Printer
263,1720,192825,45420994,1898,Server
264,1720,6354,1016731,985,Network
265,1720,14555896,9114298874,371485,Workstation
267,1725,0,0,0,Printer
268,1725,16455,5822541,1524,Server
269,1725,4128,513366,1056,Network
270,1725,17470890,10470961944,354944,Workstation
272,1730,0,0,0,Printer
273,1730,54359,43206155,1827,Server
274,1730,3787,448697,1038,Network
275,1730,15311915,8852496397,367889,Workstation
277,1735,10,1511,1,Printer
278,1735,17365,4916692,1815,Server
279,1735,3093,356653,991,Network
280,1735,13252432,8098259466,381378,Workstation
282,1740,0,0,0,Printer
283,1740,99491,26987192,2004,Server
284,1740,7208,631780,967,Network
285,1740,14918534,9843449823,375989,Workstation
287,1745,0,0,0,Printer
288,1745,575540,558037674,1797,Server
289,1745,3121,373506,969,Network
290,1745,14975606,9727306011,387224,Workstation
292,1750,0,0,0,Printer
293,1750,37236,22756343,1820,Server
294,1750,4267,493476,1067,Network
295,1750,15624492,9522175680,363643,Workstation
297,1755,0,0,0,Printer
298,1755,20076,5915229,2069,Server
299,1755,4349,528097,1014,Network
300,1755,14060951,8829912567,366792,Workstation
302,1800,0,0,0,Printer
303,1800,16184,4220876,1733,Server
304,1800,3068,381913,897,Network
305,1800,15662927,9580620444,305210,Workstation
307,1805,0,0,0,Printer
308,1805,2066857,2056494295,2443,Server
309,1805,4106,462688,1034,Network
310,1805,16065501,10946797462,342749,Workstation
312,1810,4,637,1,Printer
313,1810,22714,9196691,1794,Server
314,1810,4085,511717,995,Network
315,1810,14662665,9303923228,362804,Workstation
317,1815,0,0,0,Printer
318,1815,1408589,1394238975,1984,Server
319,1815,5321,679569,1040,Network
320,1815,15585308,10630794780,349559,Workstation
322,1820,0,0,0,Printer
323,1820,22347,7844297,1970,Server
324,1820,4362,622167,1020,Network
325,1820,14990398,9632439051,351758,Workstation
327,1825,39,19056,6,Printer
328,1825,188677,45631043,1579,Server
329,1825,3222,389369,949,Network
330,1825,16806749,10513537767,343159,Workstation
332,1830,0,0,0,Printer
333,1830,19980,9832253,1475,Server
334,1830,3324,428825,960,Network
335,1830,14065256,9073626747,310985,Workstation
337,1835,0,0,0,Printer
338,1835,20592,6954840,1927,Server
339,1835,3435,406367,979,Network
340,1835,14056562,9159957336,358792,Workstation
342,1840,76,40258,6,Printer
343,1840,22595,9045616,1873,Server
344,1840,3156,386880,975,Network
345,1840,18273037,11313298066,362192,Workstation
347,1845,0,0,0,Printer
348,1845,75877,71238784,1638,Server
349,1845,2818,325597,911,Network
350,1845,17357257,11430891392,350091,Workstation
352,1850,228,131913,10,Printer
353,1850,3906438,3802108923,1464,Server
354,1850,3089,363170,975,Network
355,1850,19135138,12953232213,327464,Workstation
357,1855,0,0,0,Printer
358,1855,123812,96969200,1668,Server
359,1855,10856,902863,929,Network
360,1855,19151093,10856223050,318866,Workstation
362,1900,0,0,0,Printer
363,1900,41852,30866932,1528,Server
364,1900,2552,298751,838,Network
365,1900,14335547,8147330719,279980,Workstation
367,1905,247,132631,16,Printer
368,1905,22201,10209044,1757,Server
369,1905,3256,378606,1022,Network
370,1905,24806193,13863498712,339123,Workstation
372,1910,41,2568,8,Printer
373,1910,33723,22454175,1300,Server
374,1910,3201,382455,943,Network
375,1910,17536438,10181402356,355616,Workstation
377,1915,154,112748,1,Printer
378,1915,96133,25188774,1354,Server
379,1915,3427,456844,963,Network
380,1915,14149177,8642230819,333646,Workstation
382,1920,0,0,0,Printer
